Card_member,Age,Annual_income,Spending Score (1-100)
0,36.0,103.0,85.0
0,34.0,103.0,23.0
0,32.0,103.0,69.0
1,33.0,113.0,8.0
0,38.0,113.0,91.0
0,47.0,120.0,16.0
0,35.0,120.0,79.0
0,45.0,126.0,28.0
1,32.0,126.0,74.0
1,32.0,137.0,18.0
1,30.0,137.0,83.0
